Product Name,Brand,Price (INR),Rating,Product Link
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,CHUWI,17990,4.1,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W9Rk2A23oRtoAAa3wtvb9QULIVQw1sycpCHY6_1syZR2g%3D%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,CHUWI,16990,3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W9Z_cKlg1YhtojhpuPIetxAZ1sIPSb2Nm7pW6r8fiAM1A%3D%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
ASUS Expertbook P1 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611W...,ASUS,52990,4.3,https://www.flipkart.com/asus-expertbook-p1-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s70611ws-thin-light-laptop/p/itmf788da016f665?pid=COMH8Z2QRZVVN2RZ&lid=LSTCOMH8Z2QRZVVN2RZ9WYQBV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH8Z2QRZVVN2RZ.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,Lenovo,42990,4.2,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmd44c92b46b181?pid=COMHYG8ZDVPTUYYB&lid=LSTCOMHYG8ZDVPTUYYBQHTHWS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMHYG8ZDVPTUYYB.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,Lenovo,9999,3.8,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os-82w00004ha/p/itm1ae5f82096ad9?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAR749MF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMHA9FK8YXVUUWA.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,HP,63990,4,https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa2703tx-gaming-laptop/p/itm280d703c08614?pid=COMH8VXV7FW2SDAX&lid=LSTCOMH8VXV7FW2SDAXP1L8IA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W-S7fixcub9N-uHE3AdYiB6pLa2FZ81_9jiNI19W98Wu0Ksf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-73...,Acer,94990,4.1,https://www.flipkart.com/acer-swift-go-14-touchscreen-ai-pc-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-sfg14-73t-70n9-thin-light-laptop/p/itm174fc1bfd505f?pid=COMGZH2UFKEB5PP4&lid=LSTCOMGZH2UFKEB5PP4ZOS4QG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMGZH2UFKEB5PP4.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,17990,3.8,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Acer,56990,4.3,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH3G96J7CE6ZPH.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Acer,45990,4.2,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
